request-date	order-id	shipment-date	sku	fnsku	disposition	shipped-quantity	carrier	tracking-number
2017-08-09T11:13:03+00:00	170809BPM	2017-08-14T11:43:49+00:00	8944638557227	X000OLULCP	Unsellable	1	BLUEDART	50468719383
2017-08-01T14:56:23+00:00	Xh81eU6520	2017-08-06T12:47:07+00:00	8944638557227	X000OLULCP	Unsellable	1	BLUEDART	50468655156
2017-07-09T05:28:43+00:00	1707081QFL	2017-07-13T11:13:30+00:00	8944638557227	X000OLULCP	Unsellable	2	BLUEDART	50455195442
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T21:16:18+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455044043
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T21:25:19+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455044080
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:04:22+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455040322
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T20:28:17+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455041092
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T21:16:38+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455043763
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:19:23+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455040241
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T21:28:19+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455043796
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:13:23+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455040344
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:16:23+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455040226
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:22:24+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455040215
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T20:25:17+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455041066
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T20:31:17+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455041055
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T20:28:17+00:00	8944638557227	X000OLULCP	Sellable	35	BLUEDART	50455041081
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:07:22+00:00	8944638557234	X000O5GI7D	Sellable	35	BLUEDART	50455040392
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:10:22+00:00	8944638557234	X000O5GI7D	Sellable	35	BLUEDART	50455040370
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T22:28:21+00:00	8944638557234	X000O5GI7D	Sellable	35	BLUEDART	50455045185
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T22:28:20+00:00	8944638557234	X000O5GI7D	Sellable	35	BLUEDART	50455045535
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:22:24+00:00	8944638557234	X000O5GI7D	Sellable	35	BLUEDART	50455040366
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T22:28:20+00:00	8944638557234	X000O5GI7D	Sellable	35	BLUEDART	50455045174
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T21:22:38+00:00	8944638557234	X000O5GI7D	Sellable	25	BLUEDART	50455043704
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T21:22:38+00:00	8944638557241	X000P8AF1J	Sellable	10	BLUEDART	50455043704
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T21:19:18+00:00	8944638557241	X000P8AF1J	Sellable	35	BLUEDART	50455043730
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T21:22:18+00:00	8944638557241	X000P8AF1J	Sellable	35	BLUEDART	50455043726
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:16:23+00:00	8944638557241	X000P8AF1J	Sellable	35	BLUEDART	50455040300
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:01:21+00:00	8944638557241	X000P8AF1J	Sellable	35	BLUEDART	50455040296
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:10:22+00:00	8944638557241	X000P8AF1J	Sellable	35	BLUEDART	50455040285
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T15:04:22+00:00	8944638557241	X000P8AF1J	Sellable	35	BLUEDART	50455040274
2017-06-29T11:16:00+00:00	170629BUE	2017-06-29T22:28:20+00:00	8944638557241	X000P8AF1J	Sellable	15	BLUEDART	50455045200
2017-06-26T13:50:57+00:00	170626J0A	2017-06-28T01:15:03+00:00	8944638557227	X000OLULCP	Unsellable	2	BLUEDART	50455017244
